customer_id,customer_name,email,gender,age,city,state,signup_date,customer_segment,acquisition_channel,preferred_channel,total_orders,total_spend,last_purchase_date,customer_tenure_days,days_since_last_purchase,average_order_value,customer_activity,spend_category
CUST1871,Neha Patel,customer871@example.com,Female,52,Hyderabad,Telangana,2023-11-04 18:46:12,Premium,Organic Search,Marketplace,8,3552.24,2026-04-23 07:29:52,1030,129,444.03,At Risk,Low
CUST1399,Ananya Joshi,customer399@example.com,Female,54,Bengaluru,Karnataka,2023-06-12 17:01:11,Premium,Social Media,Store,7,5240.2,2026-01-23 14:19:59,1175,219,748.6,Inactive,Medium
CUST1017,Rahul Saxena,customer17@example.com,Female,38,Jaipur,Rajasthan,2024-12-07 03:20:02,Regular,Social Media,Website,8,2500.54,2026-03-05 16:56:47,631,178,312.57,At Risk,Low
CUST1447,Karan Kumar,customer447@example.com,Female,37,Lucknow,Uttar Pradesh,2024-03-08 23:57:12,Regular,Referral,Website,10,19494.36,2025-07-14 13:57:31,905,412,1949.44,Inactive,High
CUST1503,Vivaan Patel,customer503@example.com,Female,39,Pune,Maharashtra,2025-03-13 23:10:21,Premium,Paid Ads,Mobile App,7,5365.18,2025-11-02 22:54:39,535,301,766.45,Inactive,Medium
CUST1219,Isha Bansal,customer219@example.com,Male,57,Delhi,Delhi,2025-07-03 12:41:59,VIP,Email Campaign,Website,2,14292.28,2025-12-09 00:41:25,423,264,7146.14,Inactive,Medium
CUST1148,Rahul Gupta,customer148@example.com,Female,39,Delhi,Delhi,2025-09-14 07:21:51,Premium,Social Media,Store,5,13500.87,2026-02-14 03:29:42,350,197,2700.17,Inactive,Medium
CUST1784,Sneha Yadav,customer784@example.com,Male,57,Bengaluru,Karnataka,2023-11-20 23:34:51,Regular,Social Media,Marketplace,8,4256.2,2025-02-03 20:20:59,1014,573,532.02,Inactive,Low
CUST1212,Aditya Roy,customer212@example.com,Male,29,Lucknow,Uttar Pradesh,2024-03-03 02:09:37,Premium,Email Campaign,Mobile App,10,7944.7,2026-06-04 00:24:56,910,87,794.47,Active,Medium
CUST1519,Rahul Chauhan,customer519@example.com,Female,57,Kolkata,West Bengal,2023-02-08 05:03:14,Regular,Email Campaign,Website,10,9936.29,2025-04-30 15:18:20,1299,487,993.63,Inactive,Medium
CUST1341,Ankit Singh,customer341@example.com,Female,28,Ahmedabad,Gujarat,2024-10-13 18:37:32,Premium,Paid Ads,Marketplace,4,12322.03,2026-07-27 07:03:14,686,34,3080.51,Active,Medium
CUST1137,Neha Mishra,customer137@example.com,Male,19,Chennai,Tamil Nadu,2024-02-12 02:28:34,VIP,Referral,Mobile App,5,11044.54,2026-04-06 05:40:46,930,146,2208.91,At Risk,Medium
CUST1510,Neha Mishra,customer510@example.com,Female,32,Noida,Uttar Pradesh,2025-08-02 11:19:53,Regular,Referral,Marketplace,9,4459.41,2026-07-13 21:15:10,393,48,495.49,Active,Low
CUST1536,Riya Patel,customer536@example.com,Female,21,Jaipur,Rajasthan,2023-04-28 02:23:10,VIP,Email Campaign,Store,7,15881.99,2026-01-20 19:05:50,1220,222,2268.86,Inactive,High
CUST1839,Pooja Nair,customer839@example.com,Male,31,Ahmedabad,Gujarat,2024-12-27 05:12:55,Regular,Referral,Website,5,16762.42,2026-03-15 14:58:07,611,168,3352.48,At Risk,High
CUST1806,Priya Joshi,customer806@example.com,Male,45,Ahmedabad,Gujarat,2023-06-29 14:11:46,Premium,Paid Ads,Website,8,4648.71,2025-02-07 16:43:50,1158,569,581.09,Inactive,Low
CUST1854,Vivaan Saxena,customer854@example.com,Female,51,Noida,Uttar Pradesh,2023-11-11 01:33:56,Regular,Social Media,Website,5,5909.61,2026-08-05 01:35:29,1023,25,1181.92,Active,Medium
CUST1681,Aditi Kumar,customer681@example.com,Female,56,Hyderabad,Telangana,2025-07-14 07:56:28,Regular,Social Media,Website,10,8451.33,2026-02-17 13:44:15,412,194,845.13,Inactive,Medium
CUST1386,Kavya Mishra,customer386@example.com,Male,32,Delhi,Delhi,2025-11-13 12:26:31,Regular,Email Campaign,Marketplace,11,6291.01,2025-11-13 12:26:31,290,290,571.91,Inactive,Medium
CUST1973,Rohan Gupta,customer973@example.com,Male,40,Kolkata,West Bengal,2023-04-01 17:29:01,Premium,Direct,Marketplace,3,6809.62,2025-04-18 11:22:56,1247,499,2269.87,Inactive,Medium
CUST1111,Vivaan Malhotra,customer111@example.com,Male,56,Lucknow,Uttar Pradesh,2024-08-11 15:30:57,Regular,Social Media,Mobile App,5,15267.78,2025-06-27 09:01:57,749,429,3053.56,Inactive,High
CUST1131,Sneha Verma,customer131@example.com,Female,58,Delhi,Delhi,2024-02-05 09:59:58,Premium,Social Media,Store,9,15481.43,2026-04-15 18:03:49,937,137,1720.16,At Risk,High
CUST1372,Priya Patel,customer372@example.com,Male,24,Bengaluru,Karnataka,2024-12-17 13:48:25,Regular,Social Media,Marketplace,4,7048.36,2025-08-16 04:10:23,621,379,1762.09,Inactive,Medium
CUST1313,Sneha Joshi,customer313@example.com,Unknown,48,Kolkata,West Bengal,2025-07-10 13:25:51,Premium,Referral,Store,8,9429.49,2025-11-29 19:29:21,416,274,1178.69,Inactive,Medium
CUST1066,Kavya Mehta,customer66@example.com,Male,49,Lucknow,Uttar Pradesh,2025-12-24 17:07:14,Regular,Social Media,Marketplace,10,4235.74,2025-12-24 17:07:14,249,249,423.57,Inactive,Low
CUST1954,Isha Shah,customer954@example.com,Male,21,Kolkata,West Bengal,2025-02-17 11:11:57,Premium,Organic Search,Website,6,11969.26,2025-10-07 12:18:37,559,327,1994.88,Inactive,Medium
CUST1819,Aditya Nair,customer819@example.com,Male,54,Pune,Maharashtra,2023-10-13 12:30:00,Regular,Direct,Website,11,10561.15,2025-05-27 15:23:23,1052,460,960.1,Inactive,Medium
CUST1397,Vivaan Verma,customer397@example.com,Male,30,Pune,Maharashtra,2025-11-06 15:22:21,Regular,Social Media,Store,10,3091.92,2026-07-12 01:52:15,297,49,309.19,Active,Low
CUST1127,Ananya Chauhan,customer127@example.com,Male,46,Jaipur,Rajasthan,2025-09-04 20:24:38,Regular,Organic Search,Store,9,8439.77,2026-08-03 15:49:55,360,27,937.75,Active,Medium
CUST1725,Riya Chauhan,customer725@example.com,Male,20,Ahmedabad,Gujarat,2025-07-29 12:29:22,Regular,Social Media,Website,9,8520.9,2025-07-29 12:29:22,397,397,946.77,Inactive,Medium
CUST1393,Aarav Mehta,customer393@example.com,Male,45,Pune,Maharashtra,2025-10-13 10:28:53,Premium,Paid Ads,Website,11,8815.37,2026-01-07 06:54:05,321,235,801.4,Inactive,Medium
CUST1535,Neha Kumar,customer535@example.com,Male,56,Delhi,Delhi,2024-01-23 08:31:48,Regular,Referral,Website,8,24563.91,2025-02-26 21:16:02,950,550,3070.49,Inactive,High
CUST1173,Kavya Reddy,customer173@example.com,Female,44,Lucknow,Uttar Pradesh,2025-05-24 08:22:02,Premium,Organic Search,Marketplace,4,7171.46,2025-12-17 18:19:17,463,256,1792.86,Inactive,Medium
CUST1479,Priya Bansal,customer479@example.com,Female,55,Ahmedabad,Gujarat,2025-04-14 03:39:38,Premium,Referral,Mobile App,9,7051.49,2026-01-25 06:15:32,503,217,783.5,Inactive,Medium
CUST1045,Aditya Joshi,customer45@example.com,Male,39,Chandigarh,Chandigarh,2023-12-19 06:41:46,Regular,Referral,Store,9,11132.94,2026-01-03 20:07:30,985,239,1236.99,Inactive,Medium
CUST1382,Rahul Verma,customer382@example.com,Female,31,Jaipur,Rajasthan,2025-10-22 12:48:58,Regular,Direct,Mobile App,10,7910.64,2026-02-19 17:15:45,312,192,791.06,Inactive,Medium
CUST1617,Sneha Kapoor,customer617@example.com,Female,49,Dehradun,Uttarakhand,2024-07-15 09:05:10,VIP,Organic Search,Mobile App,3,12591.53,2026-06-21 21:50:51,776,70,4197.18,Active,Medium
CUST1740,Isha Patel,customer740@example.com,Female,32,Lucknow,Uttar Pradesh,2025-12-08 17:48:34,Regular,Referral,Store,10,12639.47,2025-12-08 17:48:34,265,265,1263.95,Inactive,Medium
CUST1181,Isha Nair,customer181@example.com,Female,32,Gurugram,Haryana,2024-04-12 06:46:25,Regular,Email Campaign,Website,3,14626.22,2026-04-21 10:11:10,870,131,4875.41,At Risk,Medium
CUST1565,Rohan Malhotra,customer565@example.com,Female,49,Pune,Maharashtra,2025-10-13 08:51:27,Regular,Email Campaign,Website,6,19836.52,2026-07-26 04:13:25,321,35,3306.09,Active,High
CUST1460,Sneha Patel,customer460@example.com,Female,40,Delhi,Delhi,2023-11-09 13:51:39,Regular,Referral,Mobile App,6,18702.56,2025-07-07 20:46:52,1025,419,3117.09,Inactive,High
CUST1670,Priya Shah,customer670@example.com,Male,55,Chennai,Tamil Nadu,2025-11-10 02:16:06,Regular,Email Campaign,Marketplace,4,7923.47,2026-08-30 04:14:11,293,0,1980.87,Active,Medium
CUST1256,Aman Bansal,customer256@example.com,Other,49,Chennai,Tamil Nadu,2025-06-15 15:03:32,Premium,Direct,Store,9,12335.54,2026-08-04 07:21:16,441,26,1370.62,Active,Medium
CUST1363,Ananya Mishra,customer363@example.com,Male,22,Ahmedabad,Gujarat,2025-09-17 02:07:43,VIP,Social Media,Website,3,10564.34,2025-09-17 02:07:43,347,347,3521.45,Inactive,Medium
CUST1912,Kavya Nair,customer912@example.com,Female,19,Dehradun,Uttarakhand,2024-07-04 05:08:20,Regular,Social Media,Marketplace,4,9811.87,2025-10-09 09:41:50,787,325,2452.97,Inactive,Medium
CUST1183,Vivaan Bansal,customer183@example.com,Female,53,Chandigarh,Chandigarh,2023-09-26 16:19:13,Regular,Paid Ads,Marketplace,7,16486.62,2025-12-27 12:54:02,1069,246,2355.23,Inactive,High
CUST1445,Ananya Sharma,customer445@example.com,Female,24,Lucknow,Uttar Pradesh,2025-06-07 23:24:47,Regular,Social Media,Mobile App,6,8047.23,2026-02-05 13:15:04,449,206,1341.2,Inactive,Medium
CUST1796,Vivaan Das,customer796@example.com,Male,18,Gurugram,Haryana,2023-06-28 18:46:26,Premium,Paid Ads,Store,6,11665.1,2025-06-01 16:29:53,1159,455,1944.18,Inactive,Medium
CUST1383,Aditi Verma,customer383@example.com,Female,37,Jaipur,Rajasthan,2024-06-15 07:39:31,Regular,Referral,Website,7,17919.95,2025-10-03 16:50:36,806,331,2559.99,Inactive,High
CUST1861,Arjun Bansal,customer861@example.com,Female,35,Hyderabad,Telangana,2023-03-11 23:10:01,Regular,Direct,Store,7,22034.35,2025-05-21 15:39:24,1268,466,3147.76,Inactive,High
CUST1325,Neha Kumar,customer325@example.com,Male,38,Bengaluru,Karnataka,2024-01-19 07:54:28,Regular,Referral,Store,7,17079.4,2025-11-24 15:18:37,954,279,2439.91,Inactive,High
CUST1358,Aarav Mehta,customer358@example.com,Male,44,Jaipur,Rajasthan,2023-02-20 07:55:30,Regular,Organic Search,Website,4,3682.29,2026-03-23 01:41:20,1287,160,920.57,At Risk,Low
CUST1124,Vivaan Mishra,customer124@example.com,Male,45,Jaipur,Rajasthan,2025-07-20 01:19:29,Regular,Organic Search,Website,5,17384.59,2025-12-07 14:21:51,406,266,3476.92,Inactive,High
CUST1704,Riya Malhotra,customer704@example.com,Male,45,Gurugram,Haryana,2023-12-28 13:37:22,Regular,Direct,Website,6,15717.79,2025-01-10 11:31:12,976,597,2619.63,Inactive,High
CUST1129,Aditi Chauhan,customer129@example.com,Male,33,Dehradun,Uttarakhand,2024-09-28 21:02:33,Regular,Organic Search,Store,10,12791.49,2026-02-02 15:20:25,701,209,1279.15,Inactive,Medium
CUST1864,Sneha Das,customer864@example.com,Male,31,Lucknow,Uttar Pradesh,2024-01-30 02:31:04,Regular,Email Campaign,Website,8,10119.57,2026-04-19 15:22:07,943,133,1264.95,At Risk,Medium
CUST1980,Simran Roy,customer980@example.com,Female,27,Kolkata,West Bengal,2025-12-29 08:56:38,Regular,Direct,Website,6,11579.63,2025-12-29 08:56:38,244,244,1929.94,Inactive,Medium
CUST1217,Aditi Roy,customer217@example.com,Male,25,Chandigarh,Chandigarh,2025-04-19 20:45:47,Premium,Direct,Marketplace,6,14540.59,2025-12-16 08:54:23,498,257,2423.43,Inactive,Medium
CUST1874,Vikram Saxena,customer874@example.com,Male,36,Delhi,Delhi,2024-10-14 11:05:32,Regular,Email Campaign,Website,4,8310.88,2025-02-05 05:04:25,685,571,2077.72,Inactive,Medium
CUST1367,Simran Mishra,customer367@example.com,Female,58,Mumbai,Maharashtra,2024-10-12 22:49:02,Premium,Paid Ads,Store,10,19105.9,2025-02-01 10:03:56,687,575,1910.59,Inactive,High
CUST1866,Kavya Mehta,customer866@example.com,Male,30,Mumbai,Maharashtra,2024-11-01 12:44:50,Regular,Direct,Mobile App,5,5551.77,2025-03-29 09:25:02,667,519,1110.35,Inactive,Medium
CUST1024,Sneha Chauhan,customer24@example.com,Male,59,Noida,Uttar Pradesh,2023-03-01 23:25:30,Premium,Paid Ads,Website,3,9964.98,2025-07-12 11:39:26,1278,414,3321.66,Inactive,Medium
CUST1095,Priya Singh,customer95@example.com,Male,30,Lucknow,Uttar Pradesh,2023-02-23 01:41:55,Premium,Referral,Marketplace,10,18843.9,2025-02-24 02:34:52,1284,552,1884.39,Inactive,High
CUST1898,Priya Joshi,customer898@example.com,Female,21,Chennai,Tamil Nadu,2025-07-11 09:22:51,Regular,Direct,Marketplace,7,18759.93,2025-09-05 20:09:36,415,359,2679.99,Inactive,High
CUST1574,Karan Chauhan,customer574@example.com,Female,20,Ahmedabad,Gujarat,2024-03-28 17:51:04,Premium,Social Media,Mobile App,7,10463.93,2025-09-20 20:41:50,885,344,1494.85,Inactive,Medium
CUST1405,Kavya Roy,customer405@example.com,Female,25,Chennai,Tamil Nadu,2025-12-18 01:39:01,Regular,Referral,Unknown,12,11904.55,2025-12-18 01:39:01,255,255,992.05,Inactive,Medium
CUST1575,Simran Sharma,customer575@example.com,Unknown,29,Gurugram,Haryana,2025-11-10 23:09:45,Regular,Email Campaign,Mobile App,4,11011.31,2026-07-10 13:07:10,293,51,2752.83,Active,Medium
CUST1728,Ankit Malhotra,customer728@example.com,Female,26,Chennai,Tamil Nadu,2024-07-04 17:13:43,Regular,Paid Ads,Store,5,13778.41,2026-06-20 01:55:37,787,71,2755.68,Active,Medium
CUST1570,Simran Kapoor,customer570@example.com,Female,31,Lucknow,Uttar Pradesh,2023-03-28 09:05:31,Regular,Direct,Store,8,11183.8,2025-08-19 16:43:39,1251,376,1397.98,Inactive,Medium
CUST1467,Priya Kapoor,customer467@example.com,Male,56,Gurugram,Haryana,2024-06-15 19:43:49,Regular,Organic Search,Website,3,18563.49,2026-08-28 19:48:27,806,2,6187.83,Active,High
CUST1686,Ankit Sharma,customer686@example.com,Female,55,Kolkata,West Bengal,2024-05-23 18:46:06,Regular,Direct,Website,7,14006.05,2026-06-05 01:50:58,829,86,2000.86,Active,Medium
CUST1636,Ankit Malhotra,customer636@example.com,Male,26,Dehradun,Uttarakhand,2025-07-11 16:57:19,Regular,Referral,Marketplace,9,18549.18,2026-03-06 12:28:23,415,177,2061.02,At Risk,High
CUST1700,Aditi Malhotra,customer700@example.com,Female,53,Chandigarh,Chandigarh,2024-04-15 18:56:54,Regular,Organic Search,Mobile App,5,14462.6,2025-07-11 06:17:45,867,415,2892.52,Inactive,Medium
CUST1329,Sneha Bansal,customer329@example.com,Male,21,Ahmedabad,Gujarat,2025-02-24 17:45:55,Premium,Social Media,Marketplace,8,3122.06,2026-02-13 23:08:48,552,198,390.26,Inactive,Low
CUST1491,Aditya Kapoor,customer491@example.com,Male,57,Mumbai,Maharashtra,2023-11-26 06:07:41,Premium,Email Campaign,Mobile App,8,23430.4,2025-03-08 23:59:57,1008,540,2928.8,Inactive,High
CUST1093,Isha Das,customer93@example.com,Female,46,Noida,Uttar Pradesh,2023-12-29 00:36:05,Regular,Organic Search,Mobile App,8,3303.63,2025-07-21 20:27:56,975,405,412.95,Inactive,Low
CUST1710,Isha Reddy,customer710@example.com,Male,29,Gurugram,Haryana,2025-09-26 18:16:50,Regular,Paid Ads,Marketplace,6,12534.14,2026-04-10 23:00:31,338,142,2089.02,At Risk,Medium
CUST1293,Arjun Kapoor,customer293@example.com,Female,60,Ahmedabad,Gujarat,2025-09-27 17:59:22,Premium,Direct,Marketplace,6,6044.19,2026-08-07 05:54:51,337,23,1007.36,Active,Medium
CUST1669,Kavya Yadav,customer669@example.com,Male,39,Ahmedabad,Gujarat,2023-05-23 08:34:55,Regular,Organic Search,Website,6,12400.95,2025-12-18 03:00:02,1195,255,2066.83,Inactive,Medium
CUST1779,Simran Patel,customer779@example.com,Unknown,52,Gurugram,Haryana,2023-08-27 21:09:39,Regular,Referral,Store,6,6962.49,2025-05-21 12:38:32,1099,466,1160.42,Inactive,Medium
CUST1482,Aditi Saxena,customer482@example.com,Male,39,Hyderabad,Telangana,2025-11-25 10:57:21,Regular,Referral,Website,8,3856.98,2026-07-27 05:29:13,278,34,482.12,Active,Low
CUST1434,Aarav Mehta,customer434@example.com,Female,47,Bengaluru,Karnataka,2024-12-26 02:29:01,Regular,Paid Ads,Store,3,6267.74,2025-02-12 19:07:04,612,564,2089.25,Inactive,Medium
CUST1827,Arjun Shah,customer827@example.com,Male,39,Chennai,Tamil Nadu,2023-01-15 21:16:28,Premium,Paid Ads,Store,3,19666.84,2025-08-15 12:48:22,1323,380,6555.61,Inactive,High
CUST1809,Isha Shah,customer809@example.com,Female,56,Bengaluru,Karnataka,2024-03-13 04:00:35,Regular,Direct,Mobile App,7,9748.04,2025-09-25 23:10:55,900,339,1392.58,Inactive,Medium
CUST1708,Isha Sharma,customer708@example.com,Female,57,Hyderabad,Telangana,2024-09-28 21:27:23,Regular,Direct,Website,6,19990.45,2026-04-19 09:18:26,701,133,3331.74,At Risk,High
CUST1231,Rohan Kumar,customer231@example.com,Female,29,Dehradun,Uttarakhand,2025-02-06 20:11:25,Regular,Organic Search,Website,10,7445.97,2026-08-14 06:41:13,570,16,744.6,Active,Medium
CUST1202,Isha Yadav,customer202@example.com,Female,40,Chennai,Tamil Nadu,2024-11-14 08:35:54,Premium,Social Media,Marketplace,5,3959.49,2025-06-20 03:45:49,654,436,791.9,Inactive,Low
